game_name,title,view,dm,like,coin,collect,share,upload_date,url
使命召唤,【使命召唤：黑色行动冷战】僵尸模式全部奇迹武器检视动画/获取/击杀特效一览，一次性看个够！,1.7万 ,13,299,29,116,10,2022-03-25,https://www.bilibili.com/video/BV14r4y1W7Ms
使命召唤,五指教学【使命召唤手游】教会你五指操作！干货满满！,2.9万 ,49,1354,565,1018,90,2022-02-17,https://www.bilibili.com/video/BV18S4y1r7LC
使命召唤,CODM传说武器AK47-炎舞慕雪 cod15超清体验！,9814 ,21,431,18,70,10,2022-04-02,https://www.bilibili.com/video/BV16Z4y1m7DK
使命召唤,使命召唤策划难道你不知道喷子已经废了吗？262已经废了你知道吗？关于CODM近期游戏特色的评价,1.4万 ,148,1100,281,177,75,2022-04-07,https://www.bilibili.com/video/BV1fa411v7pK
使命召唤,星云变换双生主题新转盘AKBP月球漫步橙皮上线！与急冻寒流到底哪个比较值！使命召唤手游,6728 ,22,399,23,16,7,2022-04-07,https://www.bilibili.com/video/BV1p94y1Z7mK
使命召唤,【使命召唤手游】CR56全自动其实也不错 上分可以用,2022 ,6,176,9,26,分享,2022-04-08,https://www.bilibili.com/video/BV19q4y1a7An
使命召唤,COD后遗症,51.5万 ,165,9597,213,1269,89,2021-05-03,https://www.bilibili.com/video/BV1JN411f7dU
使命召唤,xQc看COD名场面,2.7万 ,1,374,6,90,20,2022-03-27,https://www.bilibili.com/video/BV1cR4y1F7XA
使命召唤,从COD学来的瞬狙，啪的一下嗷，人就没了,30.5万 ,674,1.2万,3379,1461,2594,2020-12-04,https://www.bilibili.com/video/BV1Li4y157qw
使命召唤,【COD僵尸模式剧情探究 · 编年史】完整僵尸故事详细分析解说：第一期 - 介绍+主世界线1,28.6万 ,893,7539,5901,6462,707,2018-05-19,https://www.bilibili.com/video/BV1ip411d72i
使命召唤,精细的画质和游戏细节加上使命召唤的核心玩法，快节奏的大逃杀,992 ,3,127,10,11,1,2022-04-11,https://www.bilibili.com/video/BV1tT4y1Y7UH
使命召唤,【COD17】冷 战 时 的 苏 联.EXE,67.4万 ,429,4.2万,7928,1.7万,1097,2021-12-17,https://www.bilibili.com/video/BV1BY411W7VN
使命召唤,2 0 2 2 C O D M 官 方 宣 传 片,28.3万 ,98,1.9万,1085,4462,1858,2022-01-20,https://www.bilibili.com/video/BV1mT4y1C7hL
使命召唤,当cod官方免费送了某萌新玩家一把价值670的武器，会发生什么？,80.3万 ,2186,1000,261,725,110,2017-11-08,https://www.bilibili.com/video/BV1mx411j7hE
使命召唤,【COD16】毛 式 行 动,56.8万 ,581,1.5万,4264,6425,1811,2019-11-01,https://www.bilibili.com/video/BV1uE411t7Up
使命召唤,使命召唤手游：乌龟事件，真的没话说了,1.1万 ,21,956,56,28,5,2022-04-07,https://www.bilibili.com/video/BV1eF41137zD
使命召唤,使命召唤实名制教你如何暴雪战网解绑号码！,2160 ,4,151,42,108,26,2022-04-09,https://www.bilibili.com/video/BV1b44y1V7MA
使命召唤,【COD17】所有究极武器蓝图特殊检视,2.3万 ,59,657,44,404,120,2022-03-11,https://www.bilibili.com/video/BV16L411A7Lr
使命召唤,以电影的方式看完《使命召唤10：幽灵》故事剧情,4.9万 ,763,2299,1675,1835,60,2022-03-02,https://www.bilibili.com/video/BV1kP4y1c7PN
使命召唤,【转|机翻】国外Top10开挂主播一览 by Battle Royale Guides（COD战区）,1578 ,3,50,2,4,11,2022-04-10,https://www.bilibili.com/video/BV1EA4y197oi
使命召唤,以电影的方式看完《使命召唤6：现代战争Ⅱ》故事剧情,1.2万 ,271,563,402,343,30,2022-04-04,https://www.bilibili.com/video/BV1S44y1P7bJ
使命召唤,打死你个龟孙儿！史泰龙加入COD冷战，80年代动作英雄兰博来袭！,38.8万 ,595,1.4万,1197,2235,394,2021-05-21,https://www.bilibili.com/video/BV1ey4y1W7En
使命召唤,COD手游｜Kilo141依旧强势！改版后新配件分享｜解说KH,5222 ,7,441,24,24,5,2022-04-09,https://www.bilibili.com/video/BV1aY4y1v7ca
使命召唤,五指真的难学吗？亲身经历告诉你！【使命召唤手游】详解键位冲突！,4.8万 ,72,2270,219,732,41,2022-02-12,https://www.bilibili.com/video/BV1Vu41197eK
使命召唤,【使命召唤：战区】先锋第二赛季最详细画面设置教程 保证画质 提高帧数,2018 ,4,96,50,138,12,2022-04-07,https://www.bilibili.com/video/BV1c5411U7bh
使命召唤,编曲师99%还原《使命召唤6：现代战争2》主题曲 Opening Credits,5152 ,15,473,93,208,36,2022-04-09,https://www.bilibili.com/video/BV12i4y1D7nX
使命召唤,【COD16】开头10秒我就忍不住笑了,29.7万 ,449,1.6万,2129,4617,1748,2021-05-31,https://www.bilibili.com/video/BV1ov411G747
